商品名称:小米6X 全网通 4GB+64GB 曜石黑 移动联通电信4G    价格:1349.00   评论数:48万+
商品名称:Apple iPhone 8 Plus 64GB 红色特别版 移动联通电信4G    价格:5799.00   评论数:135万+
商品名称:荣耀9i 4GB+64GB 幻夜黑 移动联通电信4G全面屏    价格:1299.00   评论数:61万+
商品名称:小米8 全面屏游戏智能    价格:2599.00   评论数:46万+
商品名称:一加    价格:3599.00   评论数:36万+
商品名称:Apple iPhone X (A1865) 64GB 深空灰色 移动联通电信4G    价格:7099.00   评论数:82万+
商品名称:荣耀10  GT游戏加速 AIS手持夜景  6GB+64GB  幻影蓝全网通 移动联通电信4G 双卡双待 游戏    价格:2299.00   评论数:63万+
商品名称:OPPO Find X曲面全景屏 波尔多红 8GB+128GB 全网通 移动联通电信全网通4G 双卡双待    价格:4999.00   评论数:4万+
商品名称:vivo NEX 零界全面屏AI双摄游戏    价格:4298.00   评论数:5.5万+
商品名称:黑鲨游戏    价格:3199.00   评论数:10万+
商品名称:Apple iPhone 8 64GB 红色特别版 移动联通电信4G    价格:4799.00   评论数:98万+
商品名称:华为 HUAWEI nova 3全面屏高清四摄游戏    价格:2999.00   评论数:10万+
商品名称:OPPO R15 全面屏双摄拍照    价格:2699.00   评论数:12万+
商品名称:荣耀Play 全网通版 4GB+64GB 幻夜黑 移动联通电信4G全面屏游戏    价格:1799.00   评论数:24万+
商品名称:诺基亚 NOKIA X6 6GB+64GB 星空黑 全网通 双卡双待 移动联通电信4G    价格:1499.00   评论数:14万+
商品名称:小米 红米Note5 全网通版 4GB+64GB 黑色 移动联通电信4G    价格:1199.00   评论数:44万+
商品名称:OPPO R17 幻色渐变机身光感屏幕指纹解锁    价格:3499.00   评论数:1500+
商品名称:vivo Z1 新一代全面屏AI双摄    价格:1598.00   评论数:12万+
商品名称:Apple iPhone 6 32GB 金色 移动联通电信4G    价格:1899.00   评论数:55万+
商品名称:小米 红米6 Pro AI美颜双摄 3GB+32GB 曜石黑 全网通4G    价格:929.00   评论数:17万+
商品名称:Apple iPhone 6s Plus (A1699) 128G 玫瑰金色 移动联通电信4G    价格:3599.00   评论数:70万+
商品名称:荣耀Note10 全网通6G+64G 幻夜黑 移动联通电信4G全面屏    价格:2799.00   评论数:4.4万+
商品名称:小米8SE 全面屏智能    价格:1899.00   评论数:30万+
商品名称:锤子（smartisan）坚果 Pro2 特别版 6G+64GB 碳黑色 全面屏双摄 全网通4G    价格:1499.00   评论数:8.1万+
商品名称:联想 Lenovo Z5 6GB+64GB 6.2英寸全面屏双摄 全网通4G    价格:1299.00   评论数:8.6万+
商品名称:OPPO A5 全面屏拍照    价格:1499.00   评论数:4.9万+
商品名称:荣耀畅玩7C 全面屏    价格:899.00   评论数:59万+
商品名称:荣耀9青春版 全网通 标配版 3GB+32GB 魅海蓝 移动联通电信4G全面屏    价格:999.00   评论数:118万+
商品名称:华为 HUAWEI P20  AI智慧全面屏 6GB +64GB 极光闪蝶色 全网通版 移动联通电信4G    价格:3388.00   评论数:36万+
商品名称:小米 红米6 4GB+64GB 流沙金 全网通4G    价格:849.00   评论数:24万+
商品名称:360    价格:1699.00   评论数:6.8万+
商品名称:三星 Galaxy S 轻奢版（SM-G8750）4GB+64GB 谜夜黑 移动联通电信4G    价格:2999.00   评论数:2.6万+
商品名称:魅族 魅蓝A5 移动定制版 2GB+16GB 皓月银 移动联通4G    价格:449.00   评论数:9.3万+
商品名称:荣耀8X Max 7.12英寸90%屏占比珍珠屏  4GB+64GB 幻夜黑 移动联通电信4G全面屏    价格:1499.00   评论数:1.1万+
商品名称:OPPO R17 2500万美颜拍照 6.4英寸水滴屏 光感屏幕指纹 6G+128G 流光蓝 全网通 移动联通电信4G 双卡双待    价格:3199.00   评论数:3200+
商品名称:新诺基亚（NOKIA）105 黑色 直板按键 移动联通2G    价格:149.00   评论数:45万+
商品名称:华为 HUAWEI nova 2 Plus 4GB+128GB 草木绿 移动联通电信4G    价格:1699.00   评论数:16万+
